timestamp,user_id,age,income,email,credit_score,churn
2026-05-09T00:21:57.495384,9666,74,64738,u***@example.com,365,0
2026-05-09T00:21:57.495384,3558,72,53397,u***@example.com,411,0
2026-05-09T00:21:57.495384,8849,20,102189,u***@example.com,312,0
2026-05-09T00:21:57.495384,3047,41,96367,u***@example.com,692,0
2026-05-09T00:21:57.495384,3747,40,144873,u***@example.com,799,1
2026-05-09T00:21:57.495384,1189,76,91260,u***@example.com,533,0
2026-05-09T00:21:57.495384,3734,78,140585,u***@example.com,613,0
2026-05-09T00:21:57.495384,4005,25,96619,u***@example.com,311,1
2026-05-09T00:21:57.495384,5658,71,131453,u***@example.com,508,0
2026-05-09T00:21:57.495384,2899,74,39816,u***@example.com,313,0
2026-05-09T00:21:57.495384,8734,64,62240,u***@example.com,717,0
2026-05-09T00:21:57.495384,2267,54,26276,u***@example.com,736,0
2026-05-09T00:21:57.495384,2528,20,133939,u***@example.com,676,1
2026-05-09T00:21:57.495384,4556,68,124199,u***@example.com,319,0
2026-05-09T00:21:57.495384,4890,50,99530,u***@example.com,369,0
2026-05-09T00:21:57.495384,9838,45,43499,u***@example.com,510,0
2026-05-09T00:21:57.495384,6393,64,108576,u***@example.com,400,0
2026-05-09T00:21:57.495384,9792,25,128856,u***@example.com,431,1
2026-05-09T00:21:57.495384,9433,51,102495,u***@example.com,680,0
2026-05-09T00:21:57.495384,8513,52,141717,u***@example.com,431,0
2026-05-09T00:21:57.495384,3612,49,91635,u***@example.com,319,0
2026-05-09T00:21:57.495384,8041,41,127803,u***@example.com,835,0
2026-05-09T00:21:57.495384,7235,31,105112,u***@example.com,526,0
2026-05-09T00:21:57.495384,6486,49,55946,u***@example.com,453,0
2026-05-09T00:21:57.495384,8099,73,75204,u***@example.com,768,0
2026-05-09T00:21:57.495384,1775,63,71886,u***@example.com,704,0
2026-05-09T00:21:57.495384,9226,60,91652,u***@example.com,501,0
2026-05-09T00:21:57.495384,4152,33,35563,u***@example.com,337,0
2026-05-09T00:21:57.495384,2585,21,112324,u***@example.com,487,0
2026-05-09T00:21:57.495384,4943,69,112464,u***@example.com,356,1
2026-05-09T00:21:57.495384,8555,54,121872,u***@example.com,319,0
2026-05-09T00:21:57.495384,4073,71,29847,u***@example.com,572,0
2026-05-09T00:21:57.495384,2021,38,46155,u***@example.com,418,0
2026-05-09T00:21:57.495384,4843,31,99671,u***@example.com,815,0
2026-05-09T00:21:57.495384,8989,48,136891,u***@example.com,520,0
2026-05-09T00:21:57.495384,7873,72,103310,u***@example.com,825,0
2026-05-09T00:21:57.495384,6675,65,87278,u***@example.com,814,0
2026-05-09T00:21:57.495384,1161,35,38309,u***@example.com,635,0
2026-05-09T00:21:57.495384,5297,24,20619,u***@example.com,354,1
2026-05-09T00:21:57.495384,1995,27,103194,u***@example.com,799,1
2026-05-09T00:21:57.495384,8629,24,70108,u***@example.com,835,0
2026-05-09T00:21:57.495384,2016,50,54707,u***@example.com,461,0
2026-05-09T00:21:57.495384,8869,40,40337,u***@example.com,458,0
2026-05-09T00:21:57.495384,7439,38,145261,u***@example.com,487,0
2026-05-09T00:21:57.495384,8892,36,101537,u***@example.com,359,1
2026-05-09T00:21:57.495384,7863,65,86504,u***@example.com,618,0
2026-05-09T00:21:57.495384,8916,78,67614,u***@example.com,510,0
2026-05-09T00:21:57.495384,9529,36,111428,u***@example.com,705,0
2026-05-09T00:21:57.495384,1878,53,111155,u***@example.com,408,0
2026-05-09T00:21:57.495384,5887,46,20281,u***@example.com,375,0
2026-05-09T00:21:57.495384,5859,77,47420,u***@example.com,841,0
2026-05-09T00:21:57.495384,7331,35,100896,u***@example.com,613,0
2026-05-09T00:21:57.495384,9571,19,59030,u***@example.com,416,0
2026-05-09T00:21:57.495384,9684,18,21058,u***@example.com,318,0
2026-05-09T00:21:57.495384,8208,64,106213,u***@example.com,731,0
2026-05-09T00:21:57.495384,6276,22,96260,u***@example.com,649,0
2026-05-09T00:21:57.495384,3062,37,48404,u***@example.com,482,0
2026-05-09T00:21:57.495384,1064,28,123482,u***@example.com,412,0
2026-05-09T00:21:57.495384,9006,59,125284,u***@example.com,482,0
2026-05-09T00:21:57.495384,3568,19,49856,u***@example.com,780,0
2026-05-09T00:21:57.495384,6463,20,29200,u***@example.com,445,1
2026-05-09T00:21:57.495384,3027,40,84178,u***@example.com,412,0
2026-05-09T00:21:57.495384,3695,72,53997,u***@example.com,775,0
2026-05-09T00:21:57.495384,6258,29,45611,u***@example.com,602,0
2026-05-09T00:21:57.495384,6618,37,139273,u***@example.com,417,0
2026-05-09T00:21:57.495384,7736,22,61235,u***@example.com,460,0
2026-05-09T00:21:57.495384,1391,54,137428,u***@example.com,700,0
2026-05-09T00:21:57.495384,6892,55,55057,u***@example.com,497,1
2026-05-09T00:21:57.495384,4561,47,21239,u***@example.com,559,0
2026-05-09T00:21:57.495384,7184,26,123674,u***@example.com,346,0
2026-05-09T00:21:57.495384,4099,51,134474,u***@example.com,698,0
2026-05-09T00:21:57.495384,7278,70,85661,u***@example.com,377,0
2026-05-09T00:21:57.495384,9392,61,146945,u***@example.com,423,1
2026-05-09T00:21:57.495384,4104,52,65272,u***@example.com,374,0
2026-05-09T00:21:57.495384,8215,69,109393,u***@example.com,436,0
2026-05-09T00:21:57.495384,3454,75,81212,u***@example.com,699,1
2026-05-09T00:21:57.495384,9996,39,144088,u***@example.com,804,0
2026-05-09T00:21:57.495384,3731,61,35398,u***@example.com,799,0
2026-05-09T00:21:57.495384,9154,41,140030,u***@example.com,437,0
2026-05-09T00:21:57.495384,6056,34,76503,u***@example.com,349,0
2026-05-09T00:21:57.495384,9110,27,26638,u***@example.com,553,0
2026-05-09T00:21:57.495384,4840,47,26570,u***@example.com,725,0
2026-05-09T00:21:57.495384,2028,73,88785,u***@example.com,846,0
2026-05-09T00:21:57.495384,8385,76,29110,u***@example.com,601,0
2026-05-09T00:21:57.495384,1502,63,125899,u***@example.com,648,0
2026-05-09T00:21:57.495384,7910,40,99141,u***@example.com,348,0
2026-05-09T00:21:57.495384,7938,49,32115,u***@example.com,373,0
2026-05-09T00:21:57.495384,5488,34,59062,u***@example.com,560,0
2026-05-09T00:21:57.495384,1206,67,42911,u***@example.com,655,0
2026-05-09T00:21:57.495384,6134,68,124061,u***@example.com,559,0
2026-05-09T00:21:57.495384,6977,34,52556,u***@example.com,594,0
2026-05-09T00:21:57.495384,8721,31,98131,u***@example.com,612,0
2026-05-09T00:21:57.495384,8035,26,148335,u***@example.com,481,1
2026-05-09T00:21:57.495384,2484,57,21969,u***@example.com,663,0
2026-05-09T00:21:57.495384,8858,19,63753,u***@example.com,487,0
2026-05-09T00:21:57.495384,1863,62,102811,u***@example.com,842,0
2026-05-09T00:21:57.495384,3790,42,24470,u***@example.com,847,0
2026-05-09T00:21:57.495384,8408,56,141863,u***@example.com,707,0
2026-05-09T00:21:57.495384,9755,26,30225,u***@example.com,713,1
2026-05-09T00:21:57.495384,6116,71,127860,u***@example.com,641,0
2026-05-09T00:21:57.495384,7019,39,143008,u***@example.com,519,0
2026-05-09T00:21:57.495384,2757,60,127510,u***@example.com,462,0
2026-05-09T00:21:57.495384,8574,63,128295,u***@example.com,519,0
2026-05-09T00:21:57.495384,7374,21,43196,u***@example.com,569,0
2026-05-09T00:21:57.495384,7892,43,125823,u***@example.com,699,0
2026-05-09T00:21:57.495384,2678,75,33669,u***@example.com,481,0
2026-05-09T00:21:57.495384,4242,46,57380,u***@example.com,504,0
2026-05-09T00:21:57.495384,5636,62,144398,u***@example.com,527,0
2026-05-09T00:21:57.495384,2059,51,130677,u***@example.com,549,0
2026-05-09T00:21:57.495384,7668,40,135886,u***@example.com,740,1
2026-05-09T00:21:57.495384,4157,54,146753,u***@example.com,832,0
